#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: rda
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-02-02
#curie_map: 
# linkml: https://w3id.org/linkml/
# rda: https://example.org/rda/
# dcat: http://www.w3.org/ns/dcat#
# DDI: http://example.org/DDI/
# unknown: http://example.org/unknown/
# B2FIND: http://example.org/B2FIND/
# sosa: http://example.org/sosa/
# DATS: http://example.org/DATS/
# dc: http://purl.org/dc/elements/1.1/
# ISO19115-1: http://example.org/ISO19115-1/
# bioschemas: http://example.org/bioschemas/
# ECRIN: http://example.org/ECRIN/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# Datacite: http://example.org/Datacite/
# Dataverse: http://example.org/Dataverse/
# foaf: http://xmlns.com/foaf/0.1/
# dct: http://example.org/dct/
# CodeMeta: http://example.org/CodeMeta/
# dcterms: https://dublincore.org/specifications/dublin-core/dcmi-terms/#
# EOSC: http://example.org/EOSC/
# owl: http://www.w3.org/2002/07/owl#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
rda:alternateName	alternateName	skos:exactMatch		rdfs:label		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		Datacite:titleType		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		ISO19115-1:MD_Identification/citation//alternateTitle(O)		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		Dataverse:Alternative		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		dcterms:alternative		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		bioschemas:alternateName		skos:exactMatch	rda									
rda:alternateName	alternateName	skos:exactMatch		DDI:altTitl		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		dcterms:bibliographicCitation		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		Datacite:isReferencedBy		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		ISO19115-1:MD_Identification/associatedResource//CI_Citation		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		EOSC:citation		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		Dataverse:Related		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		DATS:primaryPublication/		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		dcterms:isReferencedBy		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		bioschemas:citation		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		DDI:relPubl(biblCit)		skos:exactMatch	rda									
rda:citation	citation	skos:exactMatch		CodeMeta:citation		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		dct:contactPoint		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		dct:contactPoint		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		ISO19115-1:MD_Identification/pointOfContact//name		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		dcterms:mediator		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		bioschemas:contactPoint		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		B2FIND:contactPoint		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		DDI:contact		skos:exactMatch	rda									
rda:contactPoint	contactPoint	skos:exactMatch		ECRIN:Access		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		dct:byteSize(O)		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		dct:byteSize		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		Datacite:Size(O)*		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo//transferOptions//transferSize		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		EOSC:size(R)		skos:exactMatch	rda									
rda:contentSize	contentSize	skos:exactMatch		unknown:collSize		skos:exactMatch	rda									
rda:contentURL	contentURL	skos:exactMatch		dcat:accessURL		skos:exactMatch	rda									
rda:contentURL	contentURL	skos:exactMatch		dcat:downloadURL		skos:exactMatch	rda									
rda:contentURL	contentURL	skos:exactMatch		ISO19115-1:MD_Metadata/distributionInfo//online//linkage		skos:exactMatch	rda									
rda:contentURL	contentURL	skos:exactMatch		DATS:access		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		Datacite:Contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		ISO19115-1:MD_Identification/citation//citedResponsibleParty//name		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		Dataverse:Contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		B2FIND:Contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		DDI:contributor		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		ECRIN:Contributors		skos:exactMatch	rda									
rda:contributor	contributor	skos:exactMatch		CodeMeta:Contributor		skos:exactMatch	rda									
rda:copyrightHolder	copyrightHolder	skos:exactMatch		dct:rightsHolder		skos:exactMatch	rda									
rda:copyrightHolder	copyrightHolder	skos:exactMatch		dcterms:rightsHolder		skos:exactMatch	rda									
rda:copyrightHolder	copyrightHolder	skos:exactMatch		ISO19115-1:MD_Identification/resourceConstaints//responsibleParty//name		skos:exactMatch	rda									
rda:copyrightHolder	copyrightHolder	skos:exactMatch		dcterms:rightsHolder		skos:exactMatch	rda									
rda:copyrightHolder	copyrightHolder	skos:exactMatch		CodeMeta:copyrightHolder		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		dcterms:dateCopyrighted		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		dcterms:dateCopyrighted		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		Datacite:Copyrighted		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		ISO19115-1:MD_Identification/citation//date		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		dcterms:dateCopyrighted		skos:exactMatch	rda									
rda:copyrightYear	copyrightYear	skos:exactMatch		CodeMeta:copyrightYear		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		dct:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		dcterms:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		dcterms:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		ISO19115-1:MD_Identification/citation//citedResponsibleParty//name		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		EOSC:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		Dataverse:Author;		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		DATS:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		dcterms:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		bioschemas:creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		B2FIND:Creator		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		DDI:AuthEnty*		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		ECRIN:Creators		skos:exactMatch	rda									
rda:creator	creator	skos:exactMatch		CodeMeta:author		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		dct:created		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		dcterms:created(O)		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		Datacite:Date		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		ISO19115-1:MD_Metadata/dataInfo		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		EOSC:dateCreated		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		Dataverse:Date		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		dcterms:created		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		bioschemas:dateCreated		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		DDI:created		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		ECRIN:Dates		skos:exactMatch	rda									
rda:dateCreated	dateCreated	skos:exactMatch		CodeMeta:datedCreated		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		dct:modified		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		dcterms:modified		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		Datacite:Date		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		ISO19115-1:same		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		EOSC:dateModified		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		Dataverse:Version		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		dcterms:modified		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		bioschemas:dateModified		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		DDI:version		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		ECRIN:Dates		skos:exactMatch	rda									
rda:dateModified	dateModified	skos:exactMatch		CodeMeta:dateModified		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		dct:issued		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		dcterms:dateAccepted		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		Datacite:PublicationYear		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		ISO19115-1:same		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		EOSC:datePublished		skos:exactMatch	rda									
rda:datePublished	datePublished	skos:exactMatch		Dataverse:Publication		skos:exactMatch	rda									
